country,iso3,gdp_per_capita
"Somalia, Fed. Rep.",SOM,629.538899449007
South Africa,ZAF,6267.186814093
Spain,ESP,35326.7683069278
Sri Lanka,LKA,4515.56787322732
St. Kitts and Nevis,KNA,23960.6534357084
St. Lucia,LCA,14181.6303351598
St. Vincent and the Grenadines,VCT,11501.2265187188
Sudan,SDN,984.607666015625
Suriname,SUR,6961.78955961526
Sweden,SWE,57117.4877440616
Switzerland,CHE,103998.186685604
Tajikistan,TJK,1341.20229027672
Tanzania,TZA,1186.71691894531
Thailand,THA,7346.62022142185
Timor-Leste,TLS,1331.9705130185
Togo,TGO,1119.38160509429
Trinidad and Tobago,TTO,18733.4110406494
Tunisia,TUN,4181.13789301228
Turkiye,TUR,15892.7157287241
Turkmenistan,TKM,6856.65802730208
Turks and Caicos Islands,TCA,37506.7798431288
Uganda,UGA,1077.91278452817
Ukraine,UKR,5389.47314453125
United Arab Emirates,ARE,50273.5060469837
United Kingdom,GBR,53246.3676145108
United States,USA,84534.0407841548
Uruguay,URY,23906.5133029408
Uzbekistan,UZB,3161.70010632875
Vanuatu,VUT,3410.77023167097
"Venezuela, RB",VEN,4217.59102643391
Viet Nam,VNM,4717.29028732449
West Bank and Gaza,PSE,2592.30591217647
Zambia,ZMB,1187.10943350064
Zimbabwe,ZWE,2497.20332208763
